ticker,strategy,side,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
PLTR,pullback,long,B (thin),1,0.0,0.0,-1.02487988390577,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
PLTR,pullback,short,B (thin),2,0.0,0.0,-1.0329044729783474,0.0,1.0261721519927764,1,0.0,0.0,-1.049164311416794,0.0,0.0
PLTR,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
PLTR,breakout,short,B (thin),1,0.0,0.0,-1.0271758576535162,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
PLTR,retest,long,B (thin),6,0.5,1.9857546161959323,0.4857605029765642,1.9578868183243798,1.0230865065628154,0,0.0,0.0,0.0,0.0,0.0
PLTR,retest,short,B (thin),1,0.0,0.0,-1.0131187112355233,0.0,0.0,4,0.5,1.3100139264878734,0.15008394625079002,1.2972412451001953,2.0196920679725867
CVX,pullback,long,B (thin),2,0.0,0.0,-1.0549673108051985,0.0,1.0473421622735384,1,0.0,0.0,-1.0582825786047183,0.0,0.0
CVX,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CVX,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CVX,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
CVX,retest,long,B (thin),8,0.125,1.9158341805099357,-0.688393477605896,0.25809495161913015,5.3599629262676505,5,0.4,1.9640003383140645,0.15193391275202192,1.239769625300446,3.168331112868019
CVX,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COST,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COST,pullback,short,B (thin),1,1.0,1.9530942689505937,1.9530942689505937,99.0,0.0,1,1.0,1.9124441147602018,1.9124441147602018,99.0,0.0
COST,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COST,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
COST,retest,long,B (thin),3,0.6666666666666666,1.9674933895592739,0.9739026456818952,3.8834194653356753,0.0,2,0.0,0.0,-1.0315160079137415,0.0,1.0241344206390848
COST,retest,short,B (thin),3,0.6666666666666666,1.0325403719740633,0.34499885029932736,2.0047688896509444,1.0300841930501443,4,0.25,1.9427851764549404,-0.3096071125127026,0.6107056628538644,2.1612061855561615
LRCX,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LRCX,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LRCX,breakout,long,B (thin),1,0.0,0.0,-1.0197283152648382,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LRCX,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
LRCX,retest,long,B (thin),6,0.6666666666666666,1.9871552342096301,0.9860084315068196,3.910625256071098,2.0325703477976025,4,0.25,1.9923572084510053,-0.2641401634899453,0.6534637200346367,3.0489178624107867
LRCX,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
KO,pullback,long,B (thin),2,0.5,1.9125003385315527,0.4074516504245682,1.74244305776354,0.0,0,0.0,0.0,0.0,0.0,0.0
KO,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
KO,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
KO,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
